,Crash Type,Collision Type,Crash Severity,Intersection Type,Crash ID,Crash Year
0,8,9,5.0, ,1449628,2012.0
5,3,0,4.0, ,1449632,2012.0
9,2,5,5.0,1,1449640,2012.0
14,B,1,4.0,1,1449642,2012.0
20,2,5,5.0, ,1449649,2012.0
25,2,1,5.0, ,1449655,2012.0
29,2,5,5.0, ,1449658,2012.0
33,2,5,5.0, ,1449661,2012.0
37,B,6,4.0,1,1449662,2012.0
43,B,1,5.0,1,1449663,2012.0
48,8,9,4.0, ,1449676,2012.0
53,E,3,4.0, ,1449679,2012.0
58,2,5,5.0, ,1449681,2012.0
63,B,1,4.0,1,1449686,2012.0
68,B,6,5.0,3,1449690,2012.0
73,B,1,4.0,1,1449691,2012.0
78,C,5,4.0, ,1449692,2012.0
83,B,1,5.0,1,1449721,2012.0
88,H,6,4.0,5,1449722,2012.0
93,B,6,5.0,3,1449723,2012.0
98,B,1,5.0,1,1449724,2012.0
103,3,0,4.0, ,1449725,2012.0
107,C,5,4.0, ,1449727,2012.0
112,3,0,4.0, ,1449729,2012.0
116,B,1,4.0,1,1449730,2012.0
122,E,3,5.0,3,1449732,2012.0
127,B,6,5.0, ,1449734,2012.0
132,E,3,4.0, ,1449739,2012.0
139,E,3,4.0,3,1449740,2012.0
145,B,6,5.0,1,1449741,2012.0
150,8,9,5.0,1,1449743,2012.0
153,E,3,4.0, ,1449748,2012.0
158,B,1,4.0,1,1449749,2012.0
165,6,6,4.0,3,1449752,2012.0
169,3,0,4.0,1,1449753,2012.0
173,B,1,4.0,1,1449758,2012.0
178,2,4,4.0, ,1449759,2012.0
182,B,1,4.0,1,1449761,2012.0
187,E,3,4.0,1,1449762,2012.0
193,B,1,5.0,1,1449764,2012.0
198,B,1,5.0,4,1449765,2012.0
203,E,3,4.0, ,1449773,2012.0
212,C,5,5.0, ,1449774,2012.0
217,C,5,5.0, ,1449778,2012.0
222,C,5,4.0, ,1449783,2012.0
229,C,5,4.0, ,1449785,2012.0
235,C,3,5.0, ,1449793,2012.0
240,E,3,4.0,3,1449797,2012.0
245,B,1,5.0,1,1449799,2012.0
251,E,3,4.0,3,1449805,2012.0
256,H,6,5.0,1,1449810,2012.0
261,E,3,5.0, ,1449818,2012.0
266,E,3,4.0, ,1449823,2012.0
273,E,3,5.0, ,1449859,2012.0
278,B,1,4.0,1,1449867,2012.0
284,B,1,4.0,1,1449872,2012.0
289,3,0,4.0,1,1449883,2012.0
293,2,5,5.0,1,1449917,2012.0
297,E,3,5.0,1,1449924,2012.0
302,2,3,5.0, ,1449930,2012.0
307,B,1,5.0,1,1449939,2012.0
312,B,1,5.0,1,1449947,2012.0
317,2,3,5.0, ,1449948,2012.0
322,B,1,4.0,1,1449951,2012.0
327,C,5,5.0, ,1449958,2012.0
332,B,6,5.0, ,1449963,2012.0
337,E,3,5.0, ,1449967,2012.0
344,H,6,4.0,1,1449971,2012.0
350,B,6,5.0,1,1449975,2012.0
355,A,1,5.0, ,1449977,2012.0
360,B,1,5.0,5,1449980,2012.0
365,E,3,4.0,1,1449981,2012.0
370,8,9,5.0,3,1449984,2012.0
373,2,3,5.0,3,1449985,2012.0
377,F,6,5.0,1,1449989,2012.0
382,8,9,5.0, ,1449990,2012.0
385,E,3,4.0,1,1449991,2012.0
391,B,1,5.0,1,1449992,2012.0
396,3,0,4.0,3,1449993,2012.0
400,8,9,4.0,3,1449995,2012.0
403,B,1,4.0,1,1449996,2012.0
408,B,1,5.0,1,1449997,2012.0
413,A,1,4.0,1,1449999,2012.0
418,E,3,4.0,1,1450000,2012.0
423,C,5,4.0,1,1450001,2012.0
428,C,5,5.0, ,1450005,2012.0
434,E,3,4.0,1,1450008,2012.0
439,C,3,4.0, ,1450011,2012.0
444,D,6,5.0,3,1450015,2012.0
449,E,3,4.0, ,1450016,2012.0
454,E,3,5.0,1,1450019,2012.0
459,E,3,4.0, ,1450024,2012.0
466,B,1,5.0,1,1450026,2012.0
471,E,3,4.0,1,1450032,2012.0
476,3,0,4.0,1,1450033,2012.0
480,7,&,5.0, ,1450037,2012.0
483,B,1,5.0,1,1450038,2012.0
488,B,6,4.0,1,1450042,2012.0
493,6,3,4.0, ,1450046,2012.0
499,B,6,4.0, ,1450047,2012.0
504,B,1,5.0,1,1450049,2012.0
509,B,6,5.0,3,1450053,2012.0
514,E,3,5.0, ,1450062,2012.0
520,B,1,4.0, ,1450068,2012.0
525,6,3,4.0,1,1450073,2012.0
529,E,3,5.0, ,1450081,2012.0
534,C,5,4.0, ,1450093,2012.0
540,E,3,4.0,1,1450097,2012.0
547,B,1,5.0,1,1450109,2012.0
553,C,5,5.0, ,1450111,2012.0
558,E,3,5.0,1,1450115,2012.0
563,3,0,4.0,1,1450118,2012.0
567,C,5,5.0, ,1450135,2012.0
572,B,1,4.0,1,1450138,2012.0
578,C,5,5.0, ,1450140,2012.0
583,E,3,5.0, ,1450141,2012.0
588,C,3,5.0, ,1450144,2012.0
595,H,6,5.0,6,1450146,2012.0
602,E,3,5.0,1,1450157,2012.0
607,E,3,4.0,1,1450160,2012.0
612,H,6,4.0,1,1450168,2012.0
617,C,5,5.0,1,1450172,2012.0
622,E,3,5.0,1,1450185,2012.0
627,G,4,5.0, ,1450186,2012.0
632,B,6,5.0, ,1450188,2012.0
637,B,6,5.0, ,1450189,2012.0
642,E,3,5.0, ,1450192,2012.0
647,G,2,5.0, ,1450194,2012.0
652,E,3,4.0, ,1450198,2012.0
657,B,1,5.0, ,1450201,2012.0
662,E,3,4.0,1,1450203,2012.0
667,H,6,5.0, ,1450207,2012.0
672,E,3,4.0,1,1450208,2012.0
677,2,2,5.0, ,1450209,2012.0
681,E,3,4.0, ,1450211,2012.0
686,C,5,5.0, ,1450213,2012.0
691,8,9,5.0, ,1450214,2012.0
694,B,1,5.0,1,1450217,2012.0
701,B,1,4.0,1,1450218,2012.0
706,9,9,4.0, ,1450219,2012.0
712,B,1,4.0,1,1450220,2012.0
719,E,3,4.0, ,1450222,2012.0
726,D,6,4.0,3,1450223,2012.0
731,E,3,4.0,1,1450224,2012.0
738,E,3,4.0,6,1450225,2012.0
746,8,9,4.0, ,1450226,2012.0
749,B,1,5.0,1,1450227,2012.0
754,B,1,4.0,1,1450229,2012.0
759,8,9,5.0, ,1450231,2012.0
762,C,5,5.0, ,1450232,2012.0
767,8,9,5.0, ,1450236,2012.0
770,B,1,5.0,1,1450237,2012.0
775,6,1,4.0, ,1450241,2012.0
779,E,3,4.0,1,1450246,2012.0
787,G,2,4.0, ,1450247,2012.0
793,H,6,5.0,3,1450250,2012.0
798,C,5,5.0, ,1450251,2012.0
803,E,3,5.0, ,1450254,2012.0
808,6,1,4.0,1,1450258,2012.0
812,E,3,4.0, ,1450259,2012.0
817,B,6,4.0, ,1450261,2012.0
822,E,3,4.0,3,1450263,2012.0
833,E,3,4.0, ,1450268,2012.0
840,E,3,5.0, ,1450278,2012.0
845,E,3,5.0,3,1450283,2012.0
852,B,1,4.0,1,1450289,2012.0
859,H,6,5.0, ,1450292,2012.0
864,D,6,5.0,5,1450294,2012.0
869,B,6,4.0,1,1450296,2012.0
874,C,5,5.0, ,1450303,2012.0
880,3,0,4.0, ,1450304,2012.0
884,8,9,4.0, ,1450306,2012.0
889,C,5,5.0, ,1450309,2012.0
894,B,1,5.0,1,1450317,2012.0
899,E,3,4.0, ,1450319,2012.0
904,8,9,5.0,1,1450321,2012.0
907,C,5,5.0,3,1450323,2012.0
912,B,1,5.0,1,1450325,2012.0
