Intersection Type, Street Number,Nearest street number intersection,Latitude, Longitude,roundabout flag,2012 accidents,2013 accidents,2014 accidents,2015 accidents,Total accidents
1,614,5112,45 30.151083359,-122 32.528315262,0,2,0,0,0,2
1,1928,5102,45 31.133882416,-122 33.30132685,0,1,0,0,0,1
1,2259,5119,45 31.84380479,-122 32.25338967,0,1,0,0,0,1
1,919,5028,45 29.36110863200000004,-122 38.154164598,0,1,0,0,0,1
1,929,2612,45 31.71518367,-122 39.386461522,0,4,0,0,0,4
3,1406,1567,45 28.58680332,-122 38.530513316,0,1,0,0,0,1
1,124,5099,45 31.182558866,-122 33.44027042200000004,0,1,0,0,0,1
1,111,1572,45 33.324009054,-122 40.408454294,0,1,0,0,0,1
5,282,2203,45 35.12947991499999999,-122 45.247835665,0,2,0,0,0,2
3,614,5111,45 30.15147971700000001,-122 32.575720531,0,1,0,0,0,1
1,824,5092,45 28.473359266,-122 34.69889304999999995,0,8,0,0,0,8
1,1928,5028,45 31.14610010399999998,-122 38.14281201600000001,0,4,0,0,0,4
3,2402,2702,45 30.568751689,-122 39.42454271399999996,0,1,0,0,0,1
3,322,9101,45 36.20401359,-122 40.555790664,0,1,0,0,0,1
1,614,5034,45 30.172562794,-122 37.464350986,0,1,0,0,0,1
1,1515,5139,45 30.49908278499999994,-122 31.156503592,0,1,0,0,0,1
1,486,2402,45 31.25130007,-122 39.42330884999999995,0,10,0,0,0,10
3,2218,5220,45 31.86895138,-122 26.7922021400000001,0,1,0,0,0,1
1,922,5030,45 31.35268204600000004,-122 38.41752231,0,1,0,0,0,1
1,2259,5106,45 31.84664421,-122 33.142532199,0,3,0,0,0,3
1,1055,5104,45 29.232320925,-122 33.207416852,0,1,0,0,0,1
1,2620,5102,45 32.2855482,-122 33.28951129700000003,0,6,0,0,0,6
1,2702,5034,45 30.566589844,-122 37.464197531,0,1,0,0,0,1
4,614,5098,45 30.566589844,-122 37.464197531,0,1,0,0,0,1
3,1940,5050,45 29.510286944,-122 36.4086606679999999,0,4,0,0,0,4
1,929,1591,45 31.20006752,-122 39.38723455799999996,0,7,0,0,0,7
3,161,472,45 35.143240742,-122 41.35782867200000005,0,2,0,0,0,2
1,1019,5119,45 28.591667738,-122 32.276003896,0,1,0,0,0,1
1,2658,5083,45 28.4598722670000001,-122 34.407066796,0,4,0,0,0,4
1,113,5011,45 31.45118529,-122 39.167531372,0,1,0,0,0,1
1,458,5004,45 30.47506037,-122 40.46009788,0,2,0,0,0,2
1,2310,2317,45 27.47171862100000006,-122 41.5627357099999999,0,3,0,0,0,3
1,1515,5005,45 30.581062707,-122 40.444837613,0,2,0,0,0,2
1,2659,5008,45 30.7572477900000001,-122 39.28080631099999998,0,3,0,0,0,3
1,2612,7103,45 31.5997996400000001,-122 33.273605223,0,5,0,0,0,5
1,2658,5065,45 28.449592807,-122 35.493485345,0,2,0,0,0,2
1,2210,5105,45 33.319194918,-122 33.169626135,0,2,0,0,0,2
1,2658,5082,45 28.46111478000000005,-122 34.44437112799999994,0,6,0,0,0,6
5,1028,5012,45 30.439542079,-122 39.13229573,0,3,0,0,0,3
1,929,2662,45 32.36886737000000003,-122 39.38285133,0,1,0,0,0,1
3,614,5125,45 30.146887394,-122 32.51446678,0,6,0,0,0,6
3,1019,5135,45 29.03582427,-122 31.248674611,0,1,0,0,0,1
1,283,5082,45 31.22012535600000003,-122 34.446004641,0,4,0,0,0,4
1,2259,5012,45 31.9633816900000001,-122 39.130673944,0,4,0,0,0,4
1,283,5017,45 31.223889173,-122 38.547175772,0,4,0,0,0,4
3,1018,5074,45 27.47779727799999996,-122 35.14736634,0,1,0,0,0,1
3,323,9568,45 31.34436794899999995,-122 41.12950529800000002,0,1,0,0,0,1
1,829,5069,45 32.535752095,-122 35.321627162,0,1,0,0,0,1
1,604,5006,45 31.27676664399999996,-122 39.34859599700000004,0,1,0,0,0,1
1,267,929,45 32.6240361900000001,-122 39.38269987799999996,0,10,0,0,0,10
1,283,5006,45 31.230033237,-122 40.352933761,0,5,0,0,0,5
3,2231,5012,45 30.234249956,-122 39.13359750699999998,0,2,0,0,0,2
1,2210,5016,45 31.279076966,-122 38.583421453,0,1,0,0,0,1
1,2259,5117,45 31.83874692,-122 32.345372419,0,4,0,0,0,4
1,1429,5013,45 31.467062069,-122 39.91482066,0,1,0,0,0,1
1,2309,5012,45 30.542311364,-122 39.13170346100000001,0,1,0,0,0,1
1,115,1123,45 34.298296055,-122 33.481192304,0,3,0,0,0,3
1,1403,5082,45 29.462516371,-122 34.433895146,0,1,0,0,0,1
1,817,5112,45 28.60381769,-122 32.5303105260000001,0,2,0,0,0,2
3,1943,5089,45 33.21023481600000004,-122 34.167908706,0,2,0,0,0,2
1,1943,5019,45 33.19640155899999996,-122 38.596796502,0,2,0,0,0,2
1,1005,5132,45 32.06800234000000001,-122 31.37972154499999995,0,2,0,0,0,2
1,604,5012,45 31.276035961,-122 39.12947213,0,2,0,0,0,2
1,922,5060,45 31.35358309000000006,-122 36.81365279,0,3,0,0,0,3
1,283,5009,45 31.224872625,-122 39.239333771,0,3,0,0,0,3
1,1802,2402,45 31.12268336999999999,-122 39.424294436,0,3,0,0,0,3
6,2210,5033,45 31.541669137,-122 37.503029466,0,4,0,0,0,4
1,1057,5013,45 31.48344895,-122 39.9214283300000002,0,1,0,0,0,1
1,1005,5039,45 32.1675974,-122 37.223126884,0,2,0,0,0,2
1,829,5007,45 32.5376194279999999,-122 39.309226942,0,1,0,0,0,1
1,1943,5049,45 33.198617625,-122 36.439404917,0,1,0,0,0,1
1,2205,5181,45 32.135891337,-122 28.380629256,0,5,0,0,0,5
1,2218,5223,45 31.4017776729999999,-122 26.10347817,0,4,0,0,0,4
1,1528,5001,45 30.421927683,-122 40.371022237,0,1,0,0,0,1
1,283,5012,45 31.22451321,-122 39.129774157,0,11,0,0,0,11
3,829,5112,45 32.531815397,-122 32.511938374,0,1,0,0,0,1
1,1311,5033,45 33.45773266,-122 37.503658449,0,1,0,0,0,1
6,2210,5057,45 32.320552446,-122 36.16411496300000003,0,3,0,0,0,3
1,2259,9728,45 31.85724541,-122 33.578208826,0,3,0,0,0,3
1,1687,5031,45 27.596393784,-122 42.322357596,0,2,0,0,0,2
1,1940,5122,45 30.147339046,-122 32.15659080599999998,0,7,0,0,0,7
3,1005,5041,45 32.16578976000000003,-122 37.16660400199999998,0,2,0,0,0,2
1,1027,8208,45 30.104967817,-122 25.4062954439999999,0,1,0,0,0,1
3,1432,5022,45 34.301841908,-122 38.37820314399999994,0,1,0,0,0,1
3,302,9460,45 30.401464972,-122 40.05787760000000001,0,1,0,0,0,1
1,2620,5010,45 32.36538774,-122 39.200209467,0,1,0,0,0,1
5,1717,2703,45 32.276138781,-122 41.548508512,0,1,0,0,0,1
1,111,5018,45 33.32688841,-122 38.484305185,0,1,0,0,0,1
1,1528,5167,45 30.44281397600000005,-122 29.290338663,0,1,0,0,0,1
1,1055,5039,45 29.25062723300000002,-122 37.219455157,0,3,0,0,0,3
3,824,7159,45 28.337857077,-122 30.00226422,0,1,0,0,0,1
1,421,612,45 30.172250641,-122 25.158754107,0,1,0,0,0,1
3,614,5087,45 30.164798522,-122 34.272486392,0,1,0,0,0,1
3,2205,5049,45 30.5269094129999999,-122 36.450858833,0,1,0,0,0,1
1,287,5122,45 29.49489921700000004,-122 32.155840187,0,1,0,0,0,1
1,1005,5102,45 32.06833522,-122 33.289425228,0,9,0,0,0,9
3,831,2702,45 31.047066670000000005,-122 40.22596297,0,1,0,0,0,1
1,2205,5008,45 30.517128516,-122 39.27793282899999998,0,1,0,0,0,1
1,1515,5148,45 30.497901349,-122 30.385756114,0,4,0,0,0,4
1,1301,8401,45 29.5120732,-122 23.55460869499999994,0,2,0,0,0,2
3,1955,5049,45 26.38214027,-122 43.37507075,0,1,0,0,0,1
3,2612,5100,45 31.6007761599999999,-122 33.37108689,0,1,0,0,0,1
1,1806,5017,45 27.312903049,-122 38.49349287100000005,0,3,0,0,0,3
3,,,45 39.59676504,-122 51.5615525,0,11,29,16,19,75
3,2210,5038,45 32.38911612,-122 37.263414745,0,1,0,0,0,1
1,2620,9434,45 32.37334697,-122 39.56588651600000006,0,4,0,0,0,4
1,922,5099,45 31.346765599,-122 33.4308263970000001,0,6,0,0,0,6
1,2130,2638,45 35.111072668,-122 45.98161951,0,1,0,0,0,1
1,458,1906,45 30.513634956,-122 41.05579854000000001,0,1,0,0,0,1
1,1110,5021,45 31.39811055700000004,-122 41.40100357200000005,0,2,0,0,0,2
3,168,536,45 34.204551763,-122 35.5713863900000001,0,3,0,0,0,3
1,283,5010,45 31.22695384100000002,-122 40.52032934399999995,0,3,0,0,0,3
3,1608,2317,45 27.141044621,-122 40.56925431499999995,0,2,0,0,0,2
1,825,2645,45 34.508296117,-122 42.24676729199999997,0,1,0,0,0,1
1,229,267,45 32.21783918,-122 40.134259995,0,4,0,0,0,4
1,296,741,45 34.10226125199999998,-122 42.507559859,0,1,0,0,0,1
3,2638,2668,45 34.30109627500000002,-122 42.571091427,0,1,0,0,0,1
1,480,2639,45 32.484150729,-122 39.59982458400000006,0,1,0,0,0,1
1,267,2512,45 32.6363093900000001,-122 39.565381135,0,4,0,0,0,4
1,111,112,45 33.32443422399999996,-122 40.300070939,0,3,0,0,0,3
1,1939,2638,45 34.337401159,-122 43.439265201,0,2,0,0,0,2
1,2322,5042,45 32.20532754999999998,-122 37.117243853,0,2,0,0,0,2
3,2229,5005,45 30.18674797100000003,-122 40.5946232,0,2,0,0,0,2
1,824,5052,45 29.43659471200000006,-122 36.308970482,0,6,0,0,0,6
1,1005,5009,45 32.10544107,-122 39.23716225199999997,0,2,0,0,0,2
1,705,1920,45 29.496524939,-122 26.175841869,0,6,0,0,0,6
1,1007,2218,45 31.8638093199999998,-122 24.4095760299999999,0,3,0,0,0,3
1,483,1576,45 31.472284627,-122 45.4528834620000001,0,1,0,0,0,1
1,2218,5202,45 31.89306246,-122 27.186787643,0,4,0,0,0,4
1,1010,5181,45 32.49063196,-122 28.37980430299999995,0,7,0,0,0,7
1,725,5003,45 31.309240841,-122 40.244531911,0,3,0,0,0,3
3,831,0,45 29.384800008,-122 41.35309998900000004,0,1,0,0,0,1
1,267,283,45 31.229334007,-122 40.38676851899999996,0,2,0,0,0,2
1,1002,7238,45 32.136413672,-122 25.61551331,0,1,0,0,0,1
1,232,5172,45 31.195714419,-122 29.10128334800000001,0,2,0,0,0,2
